2025-12-24 00:02:47.fff | Timer: RELEASE confirmed after 62ms - deactivating space mode
2025-12-24 00:03:42.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:03:42.fff | space+j fired (spaceMode: 1)
2025-12-24 00:03:42.fff | space+k fired (spaceMode: 1)
2025-12-24 00:03:43.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:03:43.fff | Timer: RELEASE confirmed after 62ms - deactivating space mode
2025-12-24 00:04:14.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:04:14.fff | space+j fired (spaceMode: 1)
2025-12-24 00:04:14.fff | space+j fired (spaceMode: 1)
2025-12-24 00:04:15.fff | space+k fired (spaceMode: 1)
2025-12-24 00:04:15.fff | space+j fired (spaceMode: 1)
2025-12-24 00:04:15.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:04:15.fff | Timer: RELEASE confirmed after 62ms - deactivating space mode
2025-12-24 00:04:29.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:04:29.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:04:29.fff | Timer: RELEASE confirmed after 62ms - deactivating space mode
2025-12-24 00:04:44.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:04:44.fff | space:: fired (tap detected)
2025-12-24 00:04:44.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:09.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:09.fff | space:: fired (tap detected)
2025-12-24 00:05:09.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:12.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:12.fff | space:: fired (tap detected)
2025-12-24 00:05:12.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:12.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:12.fff | space:: fired (tap detected)
2025-12-24 00:05:12.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:12.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:12.fff | space:: fired (tap detected)
2025-12-24 00:05:12.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:14.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:14.fff | space:: fired (tap detected)
2025-12-24 00:05:14.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:15.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:15.fff | space:: fired (tap detected)
2025-12-24 00:05:15.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:18.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:18.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:05:18.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:05:20.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:20.fff | space+j fired (spaceMode: 1)
2025-12-24 00:05:20.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:05:20.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:05:21.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:21.fff | space+k fired (spaceMode: 1)
2025-12-24 00:05:21.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:05:21.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:05:22.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:05:22.fff | space:: fired (tap detected)
2025-12-24 00:05:22.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:05:23.fff | Timer: PRESS detected - activating space mode
